place_name,category_name,address_name,place_url,분류
유니클로 현대백화점신촌유플렉스점,"가정,생활 > 패션 > 의류판매 > 유니클로",서울 서대문구 창천동 30-1,http://place.map.kakao.com/27073054,쇼핑
무신사 스탠다드 현대백화점 유플렉스 신촌점,"가정,생활 > 패션 > 의류판매 > 무신사 스탠다드",서울 서대문구 창천동 30-1,http://place.map.kakao.com/114081769,쇼핑
나이키 현대신촌점,"가정,생활 > 패션 > 의류판매 > 스포츠의류 > 나이키",서울 서대문구 창천동 30-1,http://place.map.kakao.com/27204259,쇼핑
에잇세컨즈 현대백화점신촌점,"가정,생활 > 패션 > 의류판매 > 에잇세컨즈",서울 서대문구 창천동 30-1,http://place.map.kakao.com/25796836,쇼핑
탑텐 현대백화점유플렉스 신촌점,"가정,생활 > 패션 > 의류판매 > 탑텐",서울 서대문구 창천동 30-1,http://place.map.kakao.com/25953390,쇼핑
아디다스 현대백화점신촌점,"가정,생활 > 패션 > 의류판매 > 스포츠의류 > 아디다스",서울 서대문구 창천동 30-1,http://place.map.kakao.com/19568056,쇼핑
춘추사,"가정,생활 > 패션 > 의류판매 > 단체복,유니폼",서울 서대문구 대현동 53-4,http://place.map.kakao.com/10837987,쇼핑
MLB 현대신촌점,"가정,생활 > 패션 > 의류판매 > MLB",서울 서대문구 창천동 30-33,http://place.map.kakao.com/482294425,쇼핑
엠플레이그라운드 연세2호점,"가정,생활 > 패션 > 의류판매",서울 서대문구 창천동 30-8,http://place.map.kakao.com/1274166209,쇼핑
디스커버리 현대신촌점,"가정,생활 > 패션 > 의류판매 > 스포츠의류 > 디스커버리",서울 서대문구 창천동 30-33,http://place.map.kakao.com/27488187,쇼핑
세터 현대백화점신촌점,"가정,생활 > 패션 > 의류판매 > 여성의류 > 세터",서울 서대문구 창천동 30-33,http://place.map.kakao.com/1521885374,쇼핑
배럴 현대백화점신촌점,"가정,생활 > 패션 > 의류판매 > 스포츠의류 > 배럴",서울 서대문구 창천동 30-1,http://place.map.kakao.com/1783366951,쇼핑
미샤 현대신촌점,"가정,생활 > 패션 > 의류판매 > 여성의류 > MICHAA",서울 서대문구 창천동 30-33,http://place.map.kakao.com/1243798934,쇼핑
에이에이플레이스,"가정,생활 > 패션 > 의류판매",서울 서대문구 창천동 30-6,http://place.map.kakao.com/652289133,쇼핑
탑텐키즈 현대신촌점,"가정,생활 > 패션 > 의류판매 > 아동복,유아복 > 탑텐키즈",서울 서대문구 창천동 30-33,http://place.map.kakao.com/1063950950,쇼핑
라네즈 플래그십스토어 이대점,"가정,생활 > 미용 > 화장품",서울 서대문구 대현동 54-24,http://place.map.kakao.com/220664190,쇼핑
맥코스메틱 현대백화점신촌점,"가정,생활 > 미용 > 화장품 > 맥코스메틱",서울 서대문구 창천동 30-33,http://place.map.kakao.com/25794898,쇼핑
네이처리퍼블릭 신촌역점,"가정,생활 > 미용 > 화장품 > 네이처리퍼블릭",서울 서대문구 창천동 30-16,http://place.map.kakao.com/19630833,쇼핑
홀리카홀리카 이대점,"가정,생활 > 미용 > 화장품 > 홀리카홀리카",서울 서대문구 대현동 56-74,http://place.map.kakao.com/1051965903,쇼핑
홀리카홀리카 신촌점,"가정,생활 > 미용 > 화장품 > 홀리카홀리카",서울 서대문구 창천동 18-17,http://place.map.kakao.com/772831487,쇼핑
딥티크 현대신촌점,"가정,생활 > 미용 > 화장품 > 향수",서울 서대문구 창천동 30-33,http://place.map.kakao.com/1294780718,쇼핑
보떼 동교동삼거리점,"가정,생활 > 미용 > 화장품 > 보떼",서울 서대문구 창천동 506-22,http://place.map.kakao.com/23114853,쇼핑
에스티로더,"가정,생활 > 미용 > 화장품",서울 서대문구 창천동 30-33,http://place.map.kakao.com/25922088,쇼핑
러쉬 현대백화점신촌점,"가정,생활 > 미용 > 화장품",서울 서대문구 창천동 30-33,http://place.map.kakao.com/26278149,쇼핑
샤넬 현대백화점 신촌점,"가정,생활 > 미용 > 화장품",서울 서대문구 창천동 30-33,http://place.map.kakao.com/127370713,쇼핑
오메이,"가정,생활 > 미용 > 화장품",서울 서대문구 대현동 56-1,http://place.map.kakao.com/671183914,쇼핑
조말론런던 현대백화점 신촌점,"가정,생활 > 미용 > 화장품 > 향수",서울 서대문구 창천동 30-33,http://place.map.kakao.com/2135312847,쇼핑
